Num X cells: 60
Num Y cells: 80
Num ghost cells: 4
Time: 0.364286
-1.11667 -1.0875 -6.71795e-42
-1.11667 -1.0625 1.12087e-42
-1.11667 -1.0375 -1.48214e-43
-1.11667 -1.0125 1.5777e-44
-1.11667 -0.9875 1.22196e-59
-1.11667 -0.9625 -3.59908e-58
-1.11667 -0.9375 9.88844e-57
-1.11667 -0.9125 -2.24166e-55
-1.11667 -0.8875 4.38075e-54
-1.11667 -0.8625 -9.45249e-53
-1.11667 -0.8375 2.68132e-51
-1.11667 -0.8125 -7.766e-50
-1.11667 -0.7875 1.83856e-48
-1.11667 -0.7625 -3.45571e-47
-1.11667 -0.7375 6.184e-46
-1.11667 -0.7125 -1.53796e-44
-1.11667 -0.6875 4.64735e-43
-1.11667 -0.6625 -1.16555e-41
-1.11667 -0.6375 2.18763e-40
-1.11667 -0.6125 -3.282e-39
-1.11667 -0.5875 6.11782e-38
-1.11667 -0.5625 -1.84868e-36
-1.11667 -0.5375 5.00679e-35
-1.11667 -0.5125 -9.49219e-34
-1.11667 -0.4875 1.24558e-32
-1.11667 -0.4625 -1.34302e-31
-1.11667 -0.4375 3.5916e-30
-1.11667 -0.4125 -1.12884e-28
-1.11667 -0.3875 2.10087e-27
-1.11667 -0.3625 -2.41171e-26
-1.11667 -0.3375 7.79631e-26
-1.11667 -0.3125 1.72243e-25
-1.11667 -0.2875 7.82051e-23
-1.11667 -0.2625 -9.61269e-22
-1.11667 -0.2375 4.88703e-21
-1.11667 -0.2125 3.83739e-21
-1.11667 -0.1875 2.26094e-21
-1.11667 -0.1625 -1.27379e-22
-1.11667 -0.1375 1.18946e-21
-1.11667 -0.1125 1.18567e-21
-1.11667 -0.0875 1.03853e-21
-1.11667 -0.0625 1.14477e-21
-1.11667 -0.0375 8.65927e-22
-1.11667 -0.0125 1.04399e-21
-1.11667 0.0125 9.90291e-22
-1.11667 0.0375 9.26257e-22
-1.11667 0.0625 9.06191e-22
-1.11667 0.0875 9.11827e-22
-1.11667 0.1125 8.71582e-22
-1.11667 0.1375 9.18003e-22
-1.11667 0.1625 6.74661e-22
-1.11667 0.1875 9.61437e-22
-1.11667 0.2125 1.53612e-21
-1.11667 0.2375 -1.01924e-21
-1.11667 0.2625 -4.48962e-22
-1.11667 0.2875 3.05134e-21
-1.11667 0.3125 -5.15838e-22
-1.11667 0.3375 1.37039e-23
-1.11667 0.3625 1.30825e-23
-1.11667 0.3875 -1.43564e-24
-1.11667 0.4125 3.88918e-25
-1.11667 0.4375 -1.11266e-25
-1.11667 0.4625 2.13377e-26
-1.11667 0.4875 -2.31791e-27
-1.11667 0.5125 6.49593e-29
-1.11667 0.5375 2.69338e-29
-1.11667 0.5625 -7.27355e-30
-1.11667 0.5875 1.41184e-30
-1.11667 0.6125 -2.39799e-31
-1.11667 0.6375 3.28092e-32
-1.11667 0.6625 -3.07485e-33
-1.11667 0.6875 9.46202e-35
-1.11667 0.7125 3.26904e-35
-1.11667 0.7375 -9.20841e-36
-1.11667 0.7625 1.63559e-36
-1.11667 0.7875 -2.34582e-37
-1.11667 0.8125 2.73005e-38
-1.11667 0.8375 -2.28346e-39
-1.11667 0.8625 5.58837e-41
-1.11667 0.8875 2.55127e-41
-1.11667 0.9125 -6.71795e-42
-1.11667 0.9375 1.12087e-42
-1.11667 0.9625 -1.48214e-43
-1.11667 0.9875 1.5777e-44
-1.11667 1.0125 1.22196e-59
-1.11667 1.0375 -3.59908e-58
-1.11667 1.0625 9.88844e-57
-1.11667 1.0875 -2.24166e-55
-1.08333 -1.0875 -2.85698e-43
-1.08333 -1.0625 -3.23002e-44
-1.08333 -1.0375 1.25917e-44
-1.08333 -1.0125 -2.4063e-45
-1.08333 -0.9875 -1.93191e-60
-1.08333 -0.9625 5.13235e-59
-1.08333 -0.9375 -1.53062e-57
-1.08333 -0.9125 3.99361e-56
-1.08333 -0.8875 -8.32539e-55
-1.08333 -0.8625 1.54046e-53
